Zeit mit verbringt	spend time with
"<strong>fast</strong> <br><br> <span style='font-size:75%'>fast (adverb) <br>• <span class=""example"">
                  <strong class=""tilde"">fast</strong> nie</span><br>• <span class=""example"">ich konnte <strong class=""tilde"">fast</strong> nichts sehen</span><br>• <strong class=""headword"">fast</strong></span>"	almost<br><br> <span style='font-size:75%'>Automated translations:<br>• nearly<br>• hardly ever<br>• I almost couldn&#39;t see anything<br>• almost</span>
"<strong>Bewohner</strong> <br><br> <span style='font-size:75%'>Bewohner (noun) <br>• <strong class=""headword"">Bewohner</strong><span class=""feminine"">(in)</span> <span class=""collocator"">von Haus, Zimmer</span><br>• <span class=""example"">dieser Vogel ist ein <strong class=""tilde"">Bewohner</strong> der Wälder</span><br>• <strong class=""headword"">Bewohner</strong><span class=""feminine"">(in)</span><br>• <span class=""example"">die Springmaus gehört zu den <strong class=""tilde"">Bewohnern</strong> der [afrikanischen] Wüste</span></span>"	resident<br><br> <span style='font-size:75%'>Automated translations:<br>• this is a woodland bird<br>• the jerboa is a native of the [African] desertlands<br>• inhabitant<br>• occupant</span>
zehlten	to camp
"<strong>Einrichtung</strong> <br><br> <span style='font-size:75%'>Einrichtung (noun) <br>• <span class=""full_collocation"">die <strong class=""tilde"">Einrichtung</strong> eines Hauses</span> <span class=""sense"">(das Ausstatten)</span><br>• <span class=""full_collocation"">die <strong class=""tilde"">Einrichtung</strong> eines Hauses</span><br>• <span class=""example"">die komplette <strong class=""tilde"">Einrichtung</strong> eines Labors</span><br>• <strong class=""headword"">Einrichtung</strong> <span class=""collocator"">Musikstück</span><br>• <strong class=""headword"">Einrichtung</strong> <span class=""collocator"">eines Lehrstuhles</span><br>• <strong class=""headword"">Einrichtung</strong> <span class=""collocator"">Theaterstück, Text</span><br>• <span class=""full_collocation"">die <strong class=""tilde"">Einrichtung</strong> eines Kontos</span><br>• <strong class=""headword"">Einrichtung</strong> <span class=""sense"">(Ausstattung)</span><br>• <strong class=""headword"">Einrichtung</strong></span>"	"Facility<br><br> <span style='font-size:75%'>Automated translations:<br>• the furnishing of a house<br>• agency<br>• adaptation<br>• establishment<br>• foundation<br>• organization<br>• installation<br>• arrangement<br>• furnishing<br>• opening<br>• to open an account<br>• fitting-out<br>• the fitting-out of a complete laboratory<br>• fittings <span class=""info""><acronym title=""plural noun"">npl</acronym></span><br>• [fittings and] furnishings <span class=""info""><acronym title=""plural noun"">npl</acronym></span><br>• equipping</span>"
"<strong>unbedingt</strong> <br><br> <span style='font-size:75%'>unbedingt (adjective and adverb) <br>• <strong class=""headword"">unbedingt</strong></span>"	absolutely<br><br> <span style='font-size:75%'>Automated translations:<br>• absolute</span>
"<strong>Vortrag</strong> <br><br> <span style='font-size:75%'>Vortrag (noun) <br>• <span class=""full_collocation"">einen <strong class=""tilde"">Vortrag</strong> [über <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>/zu <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span>] halten</span><br>• <strong class=""headword"">Vortrag</strong> <span class=""sense"">(Beschreibung)</span><br>• <span class=""idiom_proverb"">halt keine [langen] Vorträge!</span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <strong class=""headword"">Vortrag</strong> <span class=""sense"">(längeres Referat)</span></span>"	"speech<br><br> <span style='font-size:75%'>Automated translations:<br>• to give  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> deliver]</span>  a lecture  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> talk]</span>  [on  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> about]</span>  <acronym title=""something"">sth</acronym>]<br>• don&#39;t beat about the bush!<br>• get to the point!<br>• lecture<br>• talk</span>"
"<strong>machbar</strong> <br><br> <span style='font-size:75%'>machbar (adjective and adverb) <br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> für <strong class=""tilde"">machbar</strong> halten</span><br>• <strong class=""headword"">machbar</strong></span>"	"double<br><br> <span style='font-size:75%'>Automated translations:<br>• to consider <acronym title=""something"">sth</acronym> feasible<br>• possible<br>• feasible</span>"
"<strong>Bedingung</strong> <br><br> <span style='font-size:75%'>Bedingung (noun) <br>• <span class=""full_collocation"">zu günstigen/ungünstigen <strong class=""tilde"">Bedingungen</strong></span><br>• <span class=""full_collocation"">unter welcher <strong class=""tilde"">Bedingung?</strong></span><br>• <span class=""full_collocation"">[<acronym title=""jemandem"">jdm</acronym>] eine <strong class=""tilde"">Bedingung</strong>/<strong class=""tilde"">Bedingungen</strong> stellen</span><br>• <span class=""full_collocation"">unter gewissen <strong class=""tilde"">Bedingungen</strong></span><br>• <span class=""full_collocation"">[es] zur <strong class=""tilde"">Bedingung</strong> machen, dass ...</span><br>• <span class=""full_collocation"">unter der <strong class=""tilde"">Bedingung</strong>, dass ...</span><br>• <strong class=""headword"">Bedingung</strong><br>• <span class=""full_collocation"">[nur] unter einer <strong class=""tilde"">Bedingung
</strong>            </span><br>• <span class=""full_collocation"">unter keiner <strong class=""tilde"">Bedingung
</strong>            </span></span>"	"condition<br><br> <span style='font-size:75%'>Automated translations:<br>• terms<br>• on what condition?<br>• [only] on one condition<br>• in  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> under]</span>  certain conditions<br>• on condition  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> with the proviso]</span>  that ...<br>• under no circumstances<br>• on no account <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> condition]</span><br>• to make it a condition  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> stipulate]</span>  that ...<br>• to set  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> impose]</span>  a condition/conditions [on <acronym title=""somebody"">sb</acronym>]<br>• condition<br>• on favourable  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                  <span class=""region""><acronym title=""American English"" class=""Am"">Am</acronym></span> -orable]</span> /unfavourable  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                  <span class=""region""><acronym title=""American English"" class=""Am"">Am</acronym></span> -orable]</span>  terms<br>• conditions</span>"
"<strong>Geräusche</strong> <br><br> <span style='font-size:75%'>Geräusch (noun) <br>• <strong class=""headword"">Geräusch</strong> <span class=""sense"">(unerwartet, unangenehm <acronym title=""auch"">a.</acronym>)</span><br>• <strong class=""headword"">Geräusch</strong></span>"	noise<br><br> <span style='font-size:75%'>Automated translations:<br>• sound<br>• noise</span>
"<strong>Schnarchen</strong> <br><br> <span style='font-size:75%'>schnarchen (intransitive verb) <br>• <strong class=""headword"">schnarchen</strong><br>• <span class=""grammatical_construction"">das <strong class=""tilde"">Schnarchen
</strong>               </span></span>"	to shore<br><br> <span style='font-size:75%'>Automated translations:<br>• to snore<br>• snoring</span>
