"<strong>Angestellte</strong> <br><br> <span style='font-size:75%'>Angestellte(r) (noun) <br>• <strong class=""headword"">Angestellte(r)</strong></span>"	employees<br><br> <span style='font-size:75%'>Automated translations:<br>• [salaried] employee<br>• white-collar worker</span>
"<strong>knapp</strong> <br><br> <span style='font-size:75%'>knapp (adjective and adverb) <br>• <span class=""full_collocation"">in wenigen <strong class=""tilde"">knappen</strong> Worten</span><br>• <span class=""full_collocation"">in einer <strong class=""tilde"">knappen</strong> Stunde</span><br>• <span class=""grammatical_construction"">
                  <strong class=""tilde"">knapp</strong> sein/werden</span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">knappes</strong> Ergebnis</span><br>• <span class=""full_collocation"">..., aber/und das nicht zu <strong class=""tilde"">knapp!</strong></span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">knappes</strong> Geld</span><br>• <span class=""example"">er gab ihr nur eine <strong class=""tilde"">knappe</strong> Antwort</span><br>• <span class=""grammatical_construction""><acronym title=""jemandem"">jdm</acronym> zu <strong class=""tilde"">knapp</strong> sein</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">knappe</strong> Stellen</span><br>• <span class=""grammatical_construction"">[<acronym title=""jemandem"">jdm</acronym>] zu <strong class=""tilde"">knapp</strong> sein</span><br>• <span class=""grammatical_construction"">[mit <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span>] <strong class=""tilde"">knapp</strong> sein</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">knappe</strong> Mehrheit</span><br>• <strong class=""headword"">knapp</strong><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">knappe</strong> Vorräte</span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">knapper</strong> Sieg</span></span>"	"almost (precisely a few, less than ungefähr)<br><br> <span style='font-size:75%'>Automated translations:<br>• almost<br>• ..., good and proper! <span class=""region""><acronym title=""British English"" class=""Brit"">Brit</acronym></span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• a narrow victory<br>• a narrow  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> bare]</span>  
                   <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> very small]</span>  majority<br>• to be scarce  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> in short supply]</span> /to become scarce<br>• scarce jobs<br>• meagre  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> scarce]</span>  supplies<br>• tight[-fitting]<br>• in a few brief words<br>• he replied tersely<br>• ..., and how!<br>• succinct<br>• concise<br>• low<br>• to be short [of <acronym title=""something"">sth</acronym>]<br>• a close result<br>• to be too tight for <acronym title=""somebody"">sb</acronym><br>• in just under an hour<br>• tight money<br>• to be too tight [for <acronym title=""somebody"">sb</acronym>]<br>• just enough<br>• meagre <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
               <span class=""region""><acronym title=""American English"" class=""Am"">Am</acronym></span> -er]</span></span>"
"<strong>Weil</strong> <br><br> <span style='font-size:75%'>weil (conjunction) <br>• <span class=""example"">wir kamen zu spät, <strong class=""tilde"">weil</strong> wir im Stau standen</span><br>• <strong class=""headword"">weil</strong></span>"	"while<br><br> <span style='font-size:75%'>Automated translations:<br>• because<br>• as<br>• we arrived late because we were stuck in a traffic jam<br>• cos <span class=""style""><acronym title=""slang"">sl</acronym></span></span>"
"<strong>Voraussetzungen</strong> <br><br> <span style='font-size:75%'>Voraussetzung (noun) <br>• <span class=""example"">der Schluss beruht auf der irrigen <strong class=""tilde"">Voraussetzung</strong>, dass noch genügend Rohstoffe vorhanden sind</span><br>• <span class=""example"">er hat für diesen Job nicht die richtigen <strong class=""tilde"">Voraussetzungen</strong></span><br>• <strong class=""headword"">Voraussetzung</strong><br>• <span class=""full_collocation"">unter der <strong class=""tilde"">Voraussetzung</strong>, dass ...</span><br>• <span class=""full_collocation"">von falschen <strong class=""tilde"">Voraussetzungen</strong> ausgehen</span><br>• <span class=""full_collocation"">unter bestimmten <strong class=""tilde"">Voraussetzungen</strong></span></span>"	prerequisites<br><br> <span style='font-size:75%'>Automated translations:<br>• on condition that ...<br>• premise<br>• he hasn&#39;t got the right qualifications for this job<br>• to begin with a false assumption<br>• under certain conditions<br>• precondition<br>• prerequisite<br>• assumption<br>• this conclusion is based on the false assumption that there are enough available raw materials</span>
lösen	to solve
"<strong>folgenden</strong> <br><br> <span style='font-size:75%'>folgen (intransitive verb) <br>• <span class=""example"">
                  <strong class=""tilde"">folgen</strong> Sie mir unauffällig!</span><br>• <span class=""full_collocation"">einer Anordnung/einem Befehl <strong class=""tilde"">folgen
</strong>               </span><br>• <span class=""grammatical_construction"">es folgt, dass ...</span><br>• <span class=""grammatical_construction""><acronym title=""jemandem"">jdm</acronym>/<acronym title=""etwas"">etw</acronym> <strong class=""tilde"">folgen
</strong>               </span><br>• <span class=""full_collocation""><acronym title=""jemandem"">jdm</acronym>/<acronym title=""etwas"">etw</acronym> <strong class=""tilde"">folgen</strong> können</span><br>• <span class=""example"">es folgt die Ziehung der Lottozahlen</span><br>• <span class=""grammatical_construction"">auf <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">folgen
</strong>               </span><br>• <span class=""grammatical_construction"">[<acronym title=""jemandem"">jdm</acronym>] <strong class=""tilde"">folgen
</strong>               </span><br>• <span class=""full_collocation"">wie folgt</span><br>• <span class=""example"">wir werden wie folgt vorgehen</span><br>• <span class=""full_collocation""><acronym title=""jemandes"">jds</acronym> Kurs/einer Politik <strong class=""tilde"">folgen
</strong>               </span><br>• <span class=""full_collocation"">einem Vorschlag <strong class=""tilde"">folgen
</strong>               </span><br>• <span class=""grammatical_construction"">aus <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span> folgt, dass ...</span><br>• <span class=""grammatical_construction""><acronym title=""jemandem"">jdm</acronym> <strong class=""tilde"">folgen
</strong>               </span><br>• <span class=""grammatical_construction"">[auf <acronym title=""etwas"">etw</acronym>/<acronym title=""jemanden"">jdn</acronym>] <strong class=""tilde"">folgen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span> 
                  <strong class=""tilde"">folgen
</strong>               </span></span>"	"following<br><br> <span style='font-size:75%'>Automated translations:<br>• to be obedient [to <acronym title=""somebody"">sb</acronym>]<br>• to be able to follow <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym><br>• the lottery draw will follow<br>• to follow <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym><br>• we will proceed as follows<br>• to follow  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> obey]</span>  an order<br>• to follow <acronym title=""something"">sth</acronym><br>• it follows that<br>• to come after <acronym title=""something"">sth</acronym><br>• to follow <acronym title=""somebody"">sb</acronym><br>• to act on a suggestion<br>• to follow [<acronym title=""something"">sth</acronym>/<acronym title=""somebody"">sb</acronym>]<br>• as follows<br>• follow me quietly<br>• the consequences of <acronym title=""something"">sth</acronym> are that...<br>• to follow <acronym title=""somebody's"">sb's</acronym> line/pursue a policy</span>"
"<strong>einteilen</strong> <br><br> <span style='font-size:75%'>einteilen (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> in <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">einteilen
</strong>               </span><br>• <span class=""full_collocation"">die Zeit/den Urlaub <strong class=""tilde"">einteilen
</strong>               </span><br>• <span class=""full_collocation"">die Zeit gut <strong class=""tilde"">einteilen
</strong>               </span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""dative"">dat</acronym></span> die Zeit <strong class=""tilde"">einteilen
</strong>               </span><br>• <span class=""example"">ich habe die Pastete in sechs Stücke eingeteilt</span><br>• <span class=""full_collocation"">das Geld <strong class=""tilde"">einteilen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym> zu <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span> 
                  <strong class=""tilde"">einteilen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">einteilen
</strong>               </span><br>• <span class=""grammatical_construction"">[sich <span class=""case""><acronym title=""dative"">dat</acronym></span>] <acronym title=""etwas"">etw</acronym> <strong class=""tilde"">einteilen
</strong>               </span> <span class=""collocator"">Geld, Vorräte, Zeit</span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""dative"">dat</acronym></span> die Arbeit <strong class=""tilde"">einteilen
</strong>               </span><br>• <span class=""example"">die Vorräte müssen so eingeteilt werden, dass sie uns zwei Wochen reichen</span></span>"	"to organize<br><br> <span style='font-size:75%'>Automated translations:<br>• to use one&#39;s time well<br>• to arrange one&#39;s time/holiday<br>• I&#39;ve divided  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> cut]</span>  the pie [up] into six pieces<br>• to manage  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> organize]</span>  one&#39;s money <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> finances]</span><br>• to budget<br>• to be careful with <acronym title=""something"">sth</acronym><br>• to make good use of one&#39;s time<br>• to plan  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> organize]</span>  
                   <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> arrange]</span>  one&#39;s time<br>• to arrange  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> organize]</span>  one&#39;s work<br>• to divide <acronym title=""something"">sth</acronym> up into <acronym title=""something"">sth</acronym><br>• to plan <acronym title=""something"">sth</acronym> [out]<br>• we&#39;ll have to organize  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> divide up]</span>  the supplies so that they last two weeks<br>• to assign <acronym title=""somebody"">sb</acronym> to <acronym title=""something"">sth</acronym></span>"
"<strong>weitgehend</strong> <br><br> <span style='font-size:75%'>weitgehend (adjective and adverb) <br>• <span class=""full_collocation"">
                  <strong class=""tilde"">weitgehende</strong> Übereinstimmung/Unterstützung</span><br>• <strong class=""headword"">weitgehend</strong></span>"	largely<br><br> <span style='font-size:75%'>Automated translations:<br>• far-reaching<br>• extensive agreement/support<br>• extensive</span>
"<strong>Eigenverantwortung</strong> <br><br> <span style='font-size:75%'>Eigenverantwortung (noun) <br>• <span class=""grammatical_construction"">in <strong class=""tilde"">Eigenverantwortung
</strong>               </span><br>• <strong class=""headword"">Eigenverantwortung</strong></span>"	personal responsibility<br><br> <span style='font-size:75%'>Automated translations:<br>• on one&#39;s own authority<br>• personal responsibility<br>• own responsibility<br>• self-responsibility</span>
"<strong>zufrieden</strong> <br><br> <span style='font-size:75%'>zufrieden (adjective and adverb) <br>• <span class=""full_collocation"">ein <strong class=""tilde"">zufriedenes</strong> Lächeln</span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">zufriedener</strong> Kunde</span><br>• <span class=""example"">danke, ich bin sehr <strong class=""tilde"">zufrieden
</strong>               </span><br>• <span class=""example"">danke, ich bin sehr <strong class=""tilde"">zufrieden
</strong>               </span> <span class=""sense"">(glücklich)</span> <span class=""complement"">mit</span> <span class=""object-case"">+<acronym title=""dative"">dat</acronym></span><br>• <strong class=""headword"">zufrieden</strong> <span class=""complement"">mit</span> <span class=""object-case"">+<acronym title=""dative"">dat</acronym></span></span>"	"Satisfied<br><br> <span style='font-size:75%'>Automated translations:<br>• satisfied <span class=""complement"">with</span><br>• a smile of satisfaction<br>• contented <span class=""complement"">with</span><br>• a satisfied customer<br>• thanks, everything&#39;s fine<br>• a satisfied smile<br>• content <span class=""info""><acronym title=""predicative"">pred</acronym></span></span>"
"<strong>Baumwolle, e</strong> <br><br> <span style='font-size:75%'>Baumwolle (noun) <br>• <strong class=""headword"">Baumwolle</strong></span>"	cotton<br><br> <span style='font-size:75%'>Automated translations:<br>• cotton</span>
