"<strong>Auszeit</strong> <br><br> <span style='font-size:75%'>Auszeit (noun) <br>• <strong class=""headword"">Auszeit</strong></span>"	time off<br><br> <span style='font-size:75%'>Automated translations:<br>• time out</span>
vor allem	especially
"<strong>friedliche</strong> <br><br> <span style='font-size:75%'>friedlich (adjective and adverb) <br>• <span class=""example"">er ist eigentlich ein ganz <strong class=""tilde"">friedlicher</strong> Mensch</span><br>• <strong class=""headword"">friedlich</strong><br>• <span class=""full_collocation"">eine <strong class=""tilde"">friedliche</strong> Gegend</span><br>• <span class=""full_collocation"">die <strong class=""tilde"">friedliche</strong> Nutzung von Kernenergie</span><br>• <span class=""example"">er ist eigentlich ein ganz <strong class=""tilde"">friedlicher</strong> Mensch</span> <span class=""collocator"">Tier</span><br>• <span class=""example"">wirst du wohl <strong class=""tilde"">friedlich</strong> sein!</span><br>• <strong class=""headword"">friedlich</strong> <span class=""collocator"">Lösung</span><br>• <span class=""example"">sei doch <strong class=""tilde"">friedlich!</strong></span></span>"	peaceful<br><br> <span style='font-size:75%'>Automated translations:<br>• he&#39;s really a very amiable person<br>• peace-loving<br>• calm down!<br>• placid<br>• peaceful<br>• take it easy!<br>• will you give it a rest!<br>• peaceable<br>• a peaceful area<br>• the utilization of nuclear energy for peaceful purposes<br>• docile</span>
"<strong>Unterkunft</strong> <br><br> <span style='font-size:75%'>Unterkunft (noun) <br>• <span class=""full_collocation"">eine <strong class=""tilde"">Unterkunft</strong> suchen</span><br>• <span class=""full_collocation"">
               <strong class=""tilde"">Unterkunft</strong> und Verpflegung</span><br>• <strong class=""headword"">Unterkunft</strong><br>• <strong class=""headword"">Unterkunft</strong> <span class=""sense"">(privat)</span><br>• <strong class=""headword"">Unterkunft</strong> <span class=""sense"">(Kaserne)</span><br>• <span class=""example"">die Soldaten kehrten in ihre Unterkünfte zurück</span><br>• <span class=""full_collocation"">
               <strong class=""tilde"">Unterkunft</strong> mit Frühstück</span></span>"	"Accommodation<br><br> <span style='font-size:75%'>Automated translations:<br>• billet<br>• quarters <span class=""info""><acronym title=""plural noun"">npl</acronym></span><br>• accommodation<br>• bed and breakfast<br>• the soldiers returned to their billets <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> quarters]</span><br>• to look for accommodation<br>• board and lodging</span>"
"<strong>besetzen</strong> <br><br> <span style='font-size:75%'>besetzen (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">besetzen
</strong>            </span> <span class=""topic""><acronym title=""auch"">a.</acronym> <acronym title=""military"">MIL</acronym></span><br>• <span class=""full_collocation"">die Leitung <strong class=""tilde"">besetzen
</strong>            </span><br>• <span class=""example"">besetz schon mal zwei Plätze für uns</span><br>• <span class=""full_collocation"">ein Haus <strong class=""tilde"">besetzen
</strong>            </span><br>• <span class=""full_collocation"">die Toilette <strong class=""tilde"">besetzen
</strong>            </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">besetzen
</strong>            </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">besetzen
</strong>            </span> <span class=""sense"">(bemannen)</span><br>• <span class=""example"">zehn Leute haben das leer stehende Gebäude besetzt</span><br>• <span class=""full_collocation"">Stühle/Plätze <strong class=""tilde"">besetzen
</strong>            </span><br>• <span class=""example"">sie hatte ihr Kostüm über und über mit Pailletten besetzt</span><br>• <span class=""example"">das Theater war bis auf den letzten Platz besetzt</span><br>• <span class=""full_collocation"">ein Gehege/einen Zoo mit Tieren <strong class=""tilde"">besetzen
</strong>            </span><br>• <span class=""full_collocation"">einen Posten <strong class=""tilde"">besetzen
</strong>            </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [mit <acronym title=""jemandem"">jdm</acronym>] <strong class=""tilde"">besetzen
</strong>            </span><br>• <span class=""full_collocation"">eine Rolle <strong class=""tilde"">besetzen
</strong>            </span> <span class=""topic""><acronym title=""theatre"">THEAT</acronym></span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> mit <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span> 
               <strong class=""tilde"">besetzen
</strong>            </span></span>"	"to occupy<br><br> <span style='font-size:75%'>Automated translations:<br>• to engage the line <span class=""region""><acronym title=""British English"" class=""Brit"">Brit</acronym></span><br>• to man <acronym title=""something"">sth</acronym><br>• to fill a post<br>• there was a full house at the theatre<br>• keep two places for us<br>• ten people are squatting in the disused building<br>• to trim <acronym title=""something"">sth</acronym> with <acronym title=""something"">sth</acronym><br>• to fill <acronym title=""something"">sth</acronym> [with <acronym title=""somebody"">sb</acronym>]<br>• to keep the line busy <span class=""region""><acronym title=""American English"" class=""Am"">Am</acronym></span><br>• she had sequins all over her costume<br>• to cast <acronym title=""somebody"">sb</acronym> in  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> fill]</span>  a role<br>• to fill  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> stock]</span>  an enclosure/a zoo with animals<br>• to occupy the toilet<br>• to reserve <acronym title=""something"">sth</acronym><br>• to occupy <acronym title=""something"">sth</acronym><br>• to occupy  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> take]</span>  chairs/seats<br>• to take possession of  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> squat in]</span>  a house</span>"
"<strong>bewundern</strong> <br><br> <span style='font-size:75%'>bewundern (transitive verb) <br>• <span class=""example"">was ich an dir bewundere ist ...</span><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym>/<acronym title=""etwas"">etw</acronym> [wegen einer <acronym title=""Sache"">S.</acronym> <span class=""case""><acronym title=""genitive"">gen</acronym></span>] <strong class=""tilde"">bewundern
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [an <acronym title=""jemandem"">jdm</acronym>] <strong class=""tilde"">bewundern
</strong>               </span></span>"	"to admire<br><br> <span style='font-size:75%'>Automated translations:<br>• to admire <acronym title=""something"">sth</acronym> [about <acronym title=""somebody"">sb</acronym>]<br>• to admire <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym> [for <acronym title=""something"">sth</acronym>]<br>• what I admire about you is ...</span>"
"<strong>Risiko</strong> <br><br> <span style='font-size:75%'>Risiko (noun) <br>• <span class=""example"">bei dieser Unternehmung laufen Sie das <strong class=""tilde"">Risiko</strong>, sich den Hals zu brechen</span><br>• <span class=""full_collocation"">[bei <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span>] das <strong class=""tilde"">Risiko</strong> eingehen [<span class=""or""><acronym title=""oder"">o.</acronym></span> laufen][, <acronym title=""etwas"">etw</acronym> zu tun]</span><br>• <span class=""full_collocation"">ohne <strong class=""tilde"">Risiko
</strong>               </span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">Risiko</strong> des zufälligen Untergangs der Ware</span> <span class=""topic""><acronym title=""commerce"">COMM</acronym></span><br>• <span class=""full_collocation"">ein gewisses <strong class=""tilde"">Risiko</strong> bergen</span><br>• <span class=""full_collocation"">berufliches <strong class=""tilde"">Risiko
</strong>               </span><br>• <span class=""example"">nun gut, ich kaufe die Wertpapiere, aber auf Ihr <strong class=""tilde"">Risiko
</strong>               </span><br>• <span class=""full_collocation"">versicherbares/nicht versicherbares <strong class=""tilde"">Risiko
</strong>               </span> <span class=""topic""><acronym title=""finance"">FIN</acronym></span><br>• <span class=""full_collocation"">unternehmerisches <strong class=""tilde"">Risiko
</strong>               </span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">Risiko</strong> übernehmen</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">Risiko</strong> des Spediteurs</span><br>• <span class=""full_collocation"">auf <acronym title=""jemandes"">jds</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">Risiko
</strong>               </span><br>• <strong class=""headword"">Risiko</strong> <span class=""topic""><acronym title=""law"">LAW</acronym> <acronym title=""auch"">a.</acronym></span><br>• <strong class=""headword"">Risiko</strong></span>"	"risk<br><br> <span style='font-size:75%'>Automated translations:<br>• risk of accidental destruction of the goods<br>• hazard <span class=""style""><acronym title=""formal language"">form</acronym></span><br>• peril<br>• to assume a risk<br>• at <acronym title=""somebody's"">sb's</acronym> own risk<br>• risk<br>• without risk<br>• risk of an undertaking<br>• insurable/prohibited class risk<br>• to run the risk [of doing <acronym title=""something"">sth</acronym>] [with <acronym title=""something"">sth</acronym>]<br>• carrier risk<br>• very well, I&#39;ll buy the securities, but on your head be it!<br>• occupational hazard<br>• to involve a certain risk<br>• you run the risk of breaking your neck with this venture</span>"
fest angestellt sein	be permanently employed
ein Risiko eingehen	to take a risk
etwas Neues wagen	dare to try something new
Erfahrungen sammeln	to collect experiences
