"<strong>ertragen</strong> <br><br> <span style='font-size:75%'>ertragen (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">ertragen
</strong>               </span><br>• <span class=""full_collocation"">nicht zu <strong class=""tilde"">ertragen</strong> sein</span></span>"	"to bear (a person)<br><br> <span style='font-size:75%'>Automated translations:<br>• to bear <acronym title=""something"">sth</acronym><br>• to be unbearable</span>"
"<strong>vertragen</strong> <br><br> <span style='font-size:75%'>vertragen (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">vertragen
</strong>               </span><br>• <span class=""example"">dieses Klima vertrage ich nicht/schlecht</span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [irgendwie] <strong class=""tilde"">vertragen
</strong>               </span><br>• <span class=""example"">diese ständige Aufregung verträgt mein Herz nicht</span><br>• <span class=""example"">das Haus könnte mal einen neuen Anstrich <strong class=""tilde"">vertragen
</strong>               </span><br>• <span class=""example"">nervöse Menschen <strong class=""tilde"">vertragen</strong> starken Kaffee nicht gut</span><br>• <span class=""example"">diese Pflanze verträgt kein direktes Sonnenlicht</span></span>"	"to tolerate (a food/product)<br><br> <span style='font-size:75%'>Automated translations:<br>• to take  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> tolerate]</span>  <acronym title=""something"">sth</acronym> [somehow]<br>• to bear  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> stand]</span>  <acronym title=""something"">sth</acronym> [somehow]<br>• nervous people cannot cope with  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> handle]</span>  strong coffee<br>• my heart can&#39;t stand this constant excitement<br>• to deliver <acronym title=""something"">sth</acronym><br>• this plant does not tolerate  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> like]</span>  direct sunlight<br>• to tolerate <acronym title=""something"">sth</acronym> [somehow]<br>• the house could do with  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> could use]</span>  a new coat of paint<br>• this climate doesn&#39;t/doesn&#39;t really agree with me</span>"
"<strong>Unverträglichkeit</strong> <br><br> <span style='font-size:75%'>Unverträglichkeit (noun) <br>• <strong class=""headword"">Unverträglichkeit</strong></span>"	intolerance (as food)<br><br> <span style='font-size:75%'>Automated translations:<br>• incompatibility<br>• cantankerousness<br>• intolerance</span>
"<strong>locker</strong> <br><br> <span style='font-size:75%'>locker (adjective and adverb) <br>• <span class=""full_collocation"">
                  <strong class=""tilde"">lockere</strong> Muskeln</span><br>• <span class=""full_collocation"">einen <strong class=""tilde"">lockeren</strong> Lebenswandel führen</span> <span class=""rhetoric""><acronym title=""pejorative"">pej</acronym></span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">lockeres</strong> Mundwerk haben</span> <span class=""rhetoric""><acronym title=""figurative"">fig</acronym></span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <strong class=""headword"">locker</strong></span>"	"easy<br><br> <span style='font-size:75%'>Automated translations:<br>• to have a big mouth <span class=""rhetoric""><acronym title=""figurative"">fig</acronym></span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• to lead a loose life <span class=""rhetoric""><acronym title=""pejorative"">pej</acronym></span><br>• laid back <span class=""info""><acronym title=""predicative"">pred</acronym></span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• slack<br>• light<br>• loosely packed <span class=""info""><acronym title=""predicative"">pred</acronym></span><br>• casual<br>• relaxed<br>• laid-back <span class=""info""><acronym title=""attributive"">attr</acronym></span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• loose-packed <span class=""info""><acronym title=""attributive"">attr</acronym></span><br>• relaxed muscles<br>• loose</span>"
"<strong>überschreiten</strong> <br><br> <span style='font-size:75%'>überschreiten (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [um <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>] <strong class=""tilde"">überschreiten
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">überschreiten
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [mit <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span>] <strong class=""tilde"">überschreiten
</strong>               </span></span>"	"to transfer<br><br> <span style='font-size:75%'>Automated translations:<br>• to overstep  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""style""><acronym title=""formal language"">form</acronym></span> transgress]</span>  <acronym title=""something"">sth</acronym> [with <acronym title=""something"">sth</acronym>]<br>• to cross [over] <acronym title=""something"">sth</acronym><br>• to exceed <acronym title=""something"">sth</acronym> [by <acronym title=""something"">sth</acronym>]<br>• to pass <acronym title=""something"">sth</acronym></span>"
"<strong>Spannend</strong> <br><br> <span style='font-size:75%'>spannend (adjective and adverb) <br>• <span class=""example"">mach&#39;s nicht so <strong class=""tilde"">spannend!</strong></span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <strong class=""headword"">spannend</strong> <span class=""sense"">(stärker)</span><br>• <strong class=""headword"">spannend</strong></span>"	exciting<br><br> <span style='font-size:75%'>Automated translations:<br>• don&#39;t keep us/me in suspense<br>• exciting<br>• thrilling</span>
Wie lange hat die Reise gedauert	how long did the trip last?
"<strong>Wovor</strong> <br><br> <span style='font-size:75%'>wovor (adverb) <br>• <span class=""example"">die Wand, <strong class=""tilde"">wovor</strong> der Schrank stand, ist feucht</span><br>• <strong class=""headword"">wovor</strong><br>• <span class=""example"">
               <strong class=""tilde"">wovor</strong> sollen wir den Schrank stellen</span><br>• <span class=""example"">
               <strong class=""tilde"">wovor</strong> fürchtest du dich denn so?</span><br>• <span class=""example"">ich habe keine Ahnung, <strong class=""tilde"">wovor</strong> er solche Angst hat</span></span>"	from what?<br><br> <span style='font-size:75%'>Automated translations:<br>• what are you so afraid of?<br>• in front of what<br>• in front of which<br>• the wall behind where the cupboard stood is damp<br>• what ... of<br>• what ... in front of<br>• of which<br>• I have no idea what he&#39;s so frightened of<br>• what should we put the cupboard in front of?</span>
"<strong>Vorhaben</strong> <br><br> <span style='font-size:75%'>Vorhaben (noun) <br>• <span class=""example"">das ist wirklich ein anspruchsvolles <strong class=""tilde"">Vorhaben
</strong>               </span><br>• <strong class=""headword"">Vorhaben</strong></span>"	to have for (to plan, to have plans)<br><br> <span style='font-size:75%'>Automated translations:<br>• this really is an ambitious project<br>• plan</span>
Was hast du am Wochenende vor? (Vorhaben)	What do you have for the weekend?
